pot_id,pot_label,short_label,photo_order,photo_group,photo_position,blocked_order,photo_group_label,randomised_mapping,mapping_source,temperature_code,bench,temperature_regime,replicate,variety_code,variety_name,disease_code,disease_class,fertiliser_code,fertiliser_level,watering_rule,inoculation_stage,notes
POC-001,08_POC-001_C_Ma_H_R1,08_POC-001,1,1,1,08,Control / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V1,Maximus CL,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-002,09_POC-002_C_Pl_H_R1,09_POC-002,2,1,2,09,Control / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V2,RGT Planet,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-003,12_POC-003_C_Ro_H_R1,12_POC-003,3,1,3,12,Control / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V3,Rosalind,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-004,04_POC-004_C_Gr_H_R1,04_POC-004,4,1,4,04,Control / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V4,Granite CL,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-005,07_POC-005_C_Ma_H_R2,07_POC-005,5,1,5,07,Control / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,2,V1,Maximus CL,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-006,05_POC-006_C_Pl_H_R2,05_POC-006,6,1,6,05,Control / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,2,V2,RGT Planet,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-007,16_POC-007_C_Ro_H_R2,16_POC-007,7,1,7,16,Control / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,2,V3,Rosalind,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-008,13_POC-008_C_Gr_H_R2,13_POC-008,8,1,8,13,Control / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,2,V4,Granite CL,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-009,11_POC-009_C_Ma_H_R3,11_POC-009,9,1,9,11,Control / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,3,V1,Maximus CL,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-010,02_POC-010_C_Pl_H_R3,02_POC-010,10,1,10,02,Control / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,3,V2,RGT Planet,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-011,15_POC-011_C_Ro_H_R3,15_POC-011,11,1,11,15,Control / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,3,V3,Rosalind,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-012,14_POC-012_C_Gr_H_R3,14_POC-012,12,1,12,14,Control / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,3,V4,Granite CL,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-013,03_POC-013_C_Ma_H_R4,03_POC-013,13,1,13,03,Control / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V1,Maximus CL,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-014,10_POC-014_C_Pl_H_R4,10_POC-014,14,1,14,10,Control / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V2,RGT Planet,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-015,01_POC-015_C_Ro_H_R4,01_POC-015,15,1,15,01,Control / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V3,Rosalind,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-016,06_POC-016_C_Gr_H_R4,06_POC-016,16,1,16,06,Control / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,4,V4,Granite CL,CTRL,Uninoculated control,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
POC-017,28_POC-017_NF_Ma_H_R1,28_POC-017,17,2,1,28,Net form net blotch / High fertiliser,YES,Noel Knight Photo order workbook 2026-07-30,WINTER,P26 104 Bay 4 - Cool/Winter bench,Cool/Winter,1,V1,Maximus CL,NFNB,Net form net blotch,HIGH,High Osmocote,Approx. 1 L per pot per watering event unless protocol adjustment is recorded,2-3 leaf stage; confirm with plant pathology lead,Randomised 16-pot block; photograph in Pot Number order
